molecule,Compound,#stars,#amine,#amidine,#acid,#amide,#rotor,#rtvFG,CNS,mol_MW,dipole,SASA,FOSA,FISA,PISA,WPSA,volume,donorHB,accptHB,dip^2/V,ACxDN^.5/SA,glob,QPpolrz,QPlogPC16,QPlogPoct,QPlogPw,QPlogPo/w,QPlogS,CIQPlogS,QPlogHERG,QPPCaco,QPlogBB,QPPMDCK,QPlogKp,IP(eV),EA(eV),#metab,QPlogKhsa,HumanOralAbsorption,PercentHumanOralAbsorption,SAfluorine,SAamideO,PSA,#NandO,RuleOfFive,#ringatoms,#in34,#in56,#noncon,#nonHatm,RuleOfThree,Jm
95_1-wt-1,CC(C)(C)Nc1cc(O)c(cc1[O])C(C)(C)C,1,0,0,0,0,5,0,-1,237.341,2.083,508.72,385.395,82.896,40.429,0,882.231,3,2.5,0.004916,0.0085118,0.8744627,26.328,8.016,13.673,7.536,2.785,-3.38,-3.143,-3.756,1621.042,-0.461,833.898,-2.425,7.736,-0.465,5,0.113,3,100,0,0,49.311,3,0,6,0,6,0,17,0,0.372
95_1-wt-1,CC(C)(C)Nc1cc(O)c(cc1[O])C(C)(C)C,0,0,0,0,0,5,0,-1,237.341,1.485,509.969,385.545,84.216,40.208,0,884.847,3,2.5,0.0024932,0.008491,0.8740442,26.431,8.047,13.681,7.546,2.792,-3.402,-3.143,-3.762,1574.998,-0.473,808.326,-2.45,8.127,-0.245,4,0.119,3,100,0,0,50.027,3,0,6,0,6,0,17,0,0.334
95_1-wt-1,CC(C)(C)Nc1cc(O)c(cc1[O])C(C)(C)C,0,0,0,0,0,5,0,-1,237.341,1.395,510.838,385.604,84.445,40.788,0,886.321,3,2.5,0.0021952,0.0084765,0.8735266,26.496,8.065,13.7,7.554,2.8,-3.417,-3.143,-3.773,1567.124,-0.476,803.959,-2.452,8.289,-0.218,4,0.123,3,100,0,0,50.272,3,0,6,0,6,0,17,0,0.321
96_0-wt-1,CC(C)(C)NC1=CC(=O)C=C(C1=O)C(C)(C)C,0,0,0,0,0,3,0,0,235.325,4.052,507.824,387.028,94.412,26.384,0,879.478,1,5,0.0186657,0.0098459,0.8741826,27.368,7.516,12.767,7.491,2.165,-3.287,-2.426,-3.694,1260.653,-0.441,635.451,-2.879,8.723,1.477,4,-0.051,3,95.115,0,0,63.532,3,0,6,0,6,0,17,0,0.15
96_0-wt-1,CC(C)(C)NC1=CC(=O)C=C(C1=O)C(C)(C)C,0,0,0,0,0,4,0,0,235.325,5.36,508.744,388.514,84.394,35.835,0,880.309,1,3.75,0.032635,0.0073711,0.8731513,26.85,7.514,12.031,6.037,2.839,-3.528,-2.876,-3.755,1568.881,-0.416,804.933,-2.565,9.017,1.163,2,0.136,3,100,0,0,54.132,3,0,6,0,6,0,17,0,0.169
96_1-wt-1,CC(C)(C)Nc1cc(O)cc(c1[O])C(C)(C)C,0,0,0,0,0,5,0,-1,237.341,4.51,508.319,384.826,81.979,41.513,0,880.833,3,2.5,0.0230875,0.0085185,0.8742277,26.283,8.002,13.902,7.536,2.784,-3.374,-3.143,-3.765,1653.826,-0.453,852.141,-2.404,7.96,-0.443,7,0.109,3,100,0,0,48.856,3,0,6,0,6,0,17,1,0.396
96_1-wt-1,CC(C)(C)Nc1cc(O)cc(c1[O])C(C)(C)C,0,0,0,0,0,5,0,-1,237.341,3.846,510.616,385.272,83.669,41.675,0,885.076,3,2.5,0.016711,0.0084802,0.873087,26.454,8.051,13.881,7.554,2.798,-3.413,-3.143,-3.784,1593.933,-0.47,818.835,-2.435,8.438,-0.229,6,0.12,3,100,0,0,49.892,3,0,6,0,6,0,17,0,0.337
97_0-wt-1,CC(C)(C)NC1=CC(=O)C(=CC1=O)NC(C)(C)C,0,0,0,0,0,4,0,0,250.34,4.162,534.517,439.657,87.816,7.044,0,924.803,1,6,0.0187292,0.0112251,0.8588224,28.356,7.703,13.521,8.143,2.005,-3.274,-2.283,-3.85,1455.942,-0.471,742.488,-2.729,8.798,0.974,3,-0.17,3,95.3,0,0,70.43,4,0,6,0,6,1,18,0,0.249
97_0-wt-1,CC(C)(C)NC1=CC(=O)C(=CC1=O)NC(C)(C)C,0,0,0,0,0,4,0,-1,250.34,4.411,537.891,413.947,113.089,10.855,0,926.594,1,6,0.0209996,0.0111547,0.8545359,28.464,7.907,13.708,8.349,1.843,-3.331,-2.283,-3.938,838.458,-0.71,408.924,-3.181,8.717,0.924,3,-0.168,3,90.062,0,0,76.733,4,0,6,0,6,1,18,0,0.077
97_0-wt-1,CC(C)(C)NC1=CC(=O)C(=CC1=O)NC(C)(C)C,0,0,0,0,0,5,0,0,250.34,6.092,529.148,428.511,89.516,11.121,0,925.628,1,4.75,0.0400902,0.0089767,0.8680517,27.785,7.792,12.949,6.717,2.49,-3.431,-2.74,-3.72,1402.884,-0.53,713.285,-2.65,9.375,0.828,2,0.027,3,100,0,0,64.948,4,0,6,0,6,1,18,0,0.204
